JOB_ID,SCOPE_TIER,ROLE_SEGMENT,SKILL,SKILL_ORIGIN
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,ANSYS Meshing,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,AWS,Both
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,AWS SageMaker,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Amazon Elastic Compute Cloud,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Amazon Redshift,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Amazon S3,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Apache Airflow,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Apache Hadoop,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Apache Kafka,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Apache Parquet,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Apache Spark,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Big Data,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,CI/CD,Both
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Claims Processing,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Cloud Infrastructure,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Cloud-Native Computing,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Computer Science,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Cyber Risk,Structured field
0094418d419dc3a48fda36e0f6f5d4f41fd32459,Adjacent,Machine Learning Technical Role,Cyber Security,Structured field
