ID,LAST_UPDATED_TIMESTAMP,POSTED,TITLE_RAW,TITLE_CLEAN,TITLE_NAME,ONET,ONET_NAME,SOC_2021_5,SOC_2021_5_NAME,SOC_5,SOC_5_NAME,COMPANY_NAME,CITY_NAME,STATE_NAME,NAICS_2022_6,NAICS_2022_6_NAME,ROLE_SEGMENT,ROLE_MATCH_REASON,SCOPE_TIER,SOC_DATA_SCIENTIST_MAPPING,MAPPING_ONLY_CORE_RISK
001329ae7906ca12fad44ab49f074b57d79c457e,2024-10-09 16:54:50.883 Z,9/7/2024,Cloud Data Platform Enterprise Architect (Presales),cloud data platform enterprise architect presales,Cloud Platform Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Boston, MA",Massachusetts,513210,Software Publishers,,,,Yes,Yes
0094418d419dc3a48fda36e0f6f5d4f41fd32459,2024-10-29 13:49:02.217 Z,6/19/2024,"Senior Architect, Data Analytics /AI-ML",senior architect data analytics ai ml,Data Analytics Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Guidewire Software,"San Mateo, CA",California,513210,Software Publishers,Machine Learning Technical Role,Explicit ML technical title,Adjacent,Yes,Yes
00fbe40704cf6319cee4f70ff50543950496e709,2024-09-11 13:37:18.903 Z,7/12/2024,Staff Data Analyst,staff data analyst,Staff Data Engineers,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Maven Clinic,"New York, NY",New York,513210,Software Publishers,,,,Yes,Yes
01785ee7213721dc91400bd800f5f70425298f22,2024-06-17 07:00:00.000 Z,5/7/2024,Data Analyst And Data Engineer,data analyst and data engineer,Data Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Securekloud Technologies,"Warren, MI",Michigan,513210,Software Publishers,,,,Yes,Yes
01816689dcb7950aefb4a2860dbd09995a85c7a9,2024-10-14 13:38:11.044 Z,7/9/2024,"Cyber Data Analytics, TS/SCI (St Louis)",cyber data analytics ts sci st louis,Unclassified,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,GuidePoint Security,"Saint Louis, MO",Missouri,513210,Software Publishers,,,,Yes,Yes
01ee3e5ab8921ae3d951716fd0ca278b9293051d,2024-09-06 20:32:57.352 Z,7/1/2024,Multi-Solution Architect - Sales Velocity,multi solution architect sales velocity,Sales Solution Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Adobe,"Seattle, WA",Washington,513210,Software Publishers,,,,Yes,Yes
01ee706ef513ba944fa1ed73e5e6df4b435281c1,2024-10-09 18:07:44.758 Z,7/3/2024,Sr Enterprise Architect,sr enterprise architect,Enterprise Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Workday,"[Unknown City], CA",California,513210,Software Publishers,,,,Yes,Yes
01fa58c3b9303e78bcfd72a3832e3776593cf923,2024-10-09 18:07:44.758 Z,9/13/2024,SAP PP Support specialist - Hybrid,sap pp support specialist hybrid,SAP PP Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Virtue Corporate Group,"Detroit, MI",Michigan,513210,Software Publishers,,,,Yes,Yes
021fc09cff5a2d0664ab412df214eb1ee91f7f5f,2024-09-06 20:32:57.352 Z,6/25/2024,"Data Analyst, TIDAL",data analyst tidal,Data Analysts,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Block,"New York, NY",New York,513210,Software Publishers,,,,Yes,Yes
022edbe648b7a48578013753a4f96ef0143a1faa,2024-10-09 18:07:44.758 Z,5/3/2024,IT Enterprise Architect - Denver,it enterprise architect,IT Enterprise Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Sunplus Data Group,"Denver, CO",Colorado,513210,Software Publishers,,,,Yes,Yes
024e7578cab378cf351f42abd338ffedaed5d852,2024-08-12 17:39:36.103 Z,5/24/2024,"SAP FICO Consultant with RAR and TAX_ Austin, TX(Onsite)",sap fico consultant with rar and tax onsite,SAP FICO Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Scadea Solutions,"Austin, TX",Texas,513210,Software Publishers,,,,Yes,Yes
02780a85506a6312de9531c5ab3bb36432173dc5,2024-10-15 13:42:20.149 Z,9/13/2024,Heroku Technical Architect,heroku technical architect,Technical Architects,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Salesforce,"[Unknown City], CA",California,513210,Software Publishers,,,,Yes,Yes
02aebec8670180d33c196fd5eb1f449a1adc6d33,2024-09-06 20:32:57.352 Z,6/21/2024,Principal Consultant,principal consultant,Principal Consultants,15-2051.01,Business Intelligence Analysts,15-2051,Data Scientists,15-2051,Data Scientists,Oracle,"Springfield, IL",Illinois,513210,Software Publishers,,,,Yes,Yes
